,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,Unnamed: 9,Unnamed: 10,Unnamed: 11,wer,wil,new_wer,new_wil,wer_improved,wil_improved
148,148,19,3,"washington, district of columbia, usa",arabic78,arabic,female,1897,usa,FALSE,,,,0,0,0.173913043,0.275585284,FALSE,FALSE
149,149,24,13,"medina, saudi arabia",arabic79,arabic,female,1899,saudi arabia,FALSE,,,,0.130434783,0.209486166,0.231884058,0.363903986,FALSE,FALSE
150,150,21,17,"casablanca, morocco",arabic8,arabic,male,22,morocco,FALSE,,,,0.086956522,0.14146658,3.985507246,0.978334562,FALSE,FALSE
151,151,25,11,"najran, saudi arabia",arabic80,arabic,male,1901,saudi arabia,FALSE,,,,0.289855072,0.380434783,0.68115942,0.758041711,FALSE,FALSE
152,152,22,17,"riyadh, saudi arabia",arabic81,arabic,male,1914,saudi arabia,FALSE,,,,0.043478261,0.085066163,0.217391304,0.339673913,FALSE,FALSE
153,153,42,12,"damascus, syria",arabic82,arabic,male,1917,syria,FALSE,,,,0.115942029,0.166351607,0.188405797,0.26130874,FALSE,FALSE
154,154,22,21,"riyadh, saudi arabia",arabic83,arabic,male,1920,saudi arabia,FALSE,,,,0.217391304,0.369240753,0.275362319,0.442586399,FALSE,FALSE
155,155,26,12,"medina, saudi arabia",arabic84,arabic,female,1927,saudi arabia,FALSE,,,,0.101449275,0.151966874,0.115942029,0.166351607,FALSE,FALSE
156,156,24,14,"ad dammam, saudi arabia",arabic85,arabic,female,1963,saudi arabia,FALSE,,,,0.043478261,0.071611253,0.130434783,0.22128488,FALSE,FALSE
157,157,28,3,"cairo, egypt",arabic86,arabic,male,1964,egypt,FALSE,,,,0,0,0.014492754,0.028775467,FALSE,FALSE
158,158,49,10,"kuwait city, kuwait",arabic87,arabic,female,2005,kuwait,FALSE,,,,0.115942029,0.192606595,0.347826087,0.461988304,FALSE,FALSE
159,159,19,4,"beirut, lebanon",arabic88,arabic,female,2008,lebanon,FALSE,,,,0.028985507,0.057130855,0.144927536,0.247025741,FALSE,FALSE
160,160,35,19,"baghdad, iraq",arabic89,arabic,female,2022,iraq,FALSE,,,,0.130434783,0.18983466,0.217391304,0.325529543,FALSE,FALSE
161,161,28,4,"jerusalem, israel",arabic9,arabic,female,23,israel,FALSE,,,,0.014492754,0.028775467,0.202898551,0.230867023,FALSE,FALSE
162,162,23,12,"tripoli, libya",arabic90,arabic,female,2036,libya,FALSE,,,,0.246376812,0.363689777,0.420289855,0.578392622,FALSE,FALSE
163,163,57,12,"riyadh, saudi arabia",arabic91,arabic,female,2086,saudi arabia,FALSE,,,,0.449275362,0.577325261,0.739130435,0.824330259,FALSE,FALSE
164,164,36,10,"baghdad, iraq",arabic92,arabic,male,2087,iraq,FALSE,,,,0.130434783,0.22128488,0.449275362,0.54505356,FALSE,FALSE
165,165,27,10,"baghdad, iraq",arabic93,arabic,female,2112,iraq,FALSE,,,,0.115942029,0.17826087,0.579710145,0.656750572,FALSE,FALSE
166,166,24,9,"abu dhabi, united arab emirates",arabic94,arabic,female,2114,united arab emirates,FALSE,,,,0.072463768,0.110838947,0.144927536,0.159178744,FALSE,FALSE
167,167,31,10,"kuwait city, kuwait",arabic95,arabic,female,2143,kuwait,FALSE,,,,0.101449275,0.1685053,0.47826087,0.559098229,FALSE,FALSE
168,168,21,7,"riyadh, saudi arabia",arabic96,arabic,male,2153,saudi arabia,FALSE,,,,0.347826087,0.312001303,0.057971014,0.099531117,TRUE,TRUE
169,169,19,4,"sharjah, united arab emirates",arabic97,arabic,female,2154,united arab emirates,FALSE,,,,0.173913043,0.31758034,0.202898551,0.331628303,FALSE,FALSE
170,170,19,4,"ras al khaimah, united arab emirates",arabic98,arabic,female,2155,united arab emirates,FALSE,,,,0.231884058,0.359683794,0.333333333,0.457381479,FALSE,FALSE
171,171,25,16,"ad dammam, saudi arabia",arabic99,arabic,female,2157,saudi arabia,FALSE,,,,0.072463768,0.139676539,0.47826087,0.582608696,FALSE,FALSE
172,172,19,9,"yerevan, armenia",armenian1,armenian,female,24,armenia,FALSE,,,,0.188405797,0.321652607,0.260869565,0.401656315,FALSE,FALSE
